Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
APITestingLearningTestSuite,,,2019-04-27 12:34:43,2019-04-27 12:36:00,1m - 16.157s,PASSED
,,,,,,
Test Cases/HTTPMethods,,,2019-04-27 12:34:44,2019-04-27 12:35:11,27.396s,PASSED
"sendRequest(findTestObject(""UserRestService/CreateUser""))",,,2019-04-27 12:34:44,2019-04-27 12:34:56,11.881s,PASSED
"sendRequest(findTestObject(""UserRestService/UpdateUser""))",,,2019-04-27 12:34:56,2019-04-27 12:35:01,5.111s,PASSED
"sendRequest(findTestObject(""UserRestService/ListUsers""))",,,2019-04-27 12:35:01,2019-04-27 12:35:06,5.092s,PASSED
"sendRequest(findTestObject(""UserRestService/DeleteUser""))",,,2019-04-27 12:35:06,2019-04-27 12:35:11,5.102s,PASSED
,,,,,,
Test Cases/JSONPlaceholderTypicodeTest,,,2019-04-27 12:35:11,2019-04-27 12:35:27,15.966s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/PostRequest""))",,,2019-04-27 12:35:11,2019-04-27 12:35:22,10.793s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/GetRequest""))",,,2019-04-27 12:35:22,2019-04-27 12:35:27,5.084s,PASSED
,,,,,,
Test Cases/SoapWSDLLatitudeLongitudeTest,,,2019-04-27 12:35:27,2019-04-27 12:35:44,16.829s,PASSED
"response1 = sendRequest(findTestObject(""LatLong_SOAPWSDL/GetLatLong_ByZipcode""))",,,2019-04-27 12:35:27,2019-04-27 12:35:38,10.934s,PASSED
xml1 = response1.getResponseText(),,,2019-04-27 12:35:38,2019-04-27 12:35:38,0.006s,PASSED
dataValue = XmlSlurper().parseText(xml1),,,2019-04-27 12:35:38,2019-04-27 12:35:38,0.021s,PASSED
println(dataValue),,,2019-04-27 12:35:38,2019-04-27 12:35:38,0.002s,PASSED
parseString = dataValue.toString(),,,2019-04-27 12:35:38,2019-04-27 12:35:38,0.000s,PASSED
"array1 = parseString.split(""<latLonList>"")",,,2019-04-27 12:35:38,2019-04-27 12:35:38,0.002s,PASSED
"array2 = array1[1].split(""</latLonList>/"")",,,2019-04-27 12:35:38,2019-04-27 12:35:38,0.001s,PASSED
latitudelongitude = array2[0],,,2019-04-27 12:35:38,2019-04-27 12:35:38,0.001s,PASSED
println(latitudelongitude),,,2019-04-27 12:35:38,2019-04-27 12:35:38,0.001s,PASSED
"latitudearray = latitudelongitude.split("","")",,,2019-04-27 12:35:38,2019-04-27 12:35:38,0.001s,PASSED
"latitude = latitudearray[0].substring(0, 2)",,,2019-04-27 12:35:38,2019-04-27 12:35:38,0.001s,PASSED
println(latitude),,,2019-04-27 12:35:38,2019-04-27 12:35:38,0.001s,PASSED
lat = latitude,,,2019-04-27 12:35:38,2019-04-27 12:35:38,0.062s,PASSED
"sendRequestAndVerify(findTestObject(""LatLong_SOAPWSDL/GetCity_ByLatLong""))",,,2019-04-27 12:35:38,2019-04-27 12:35:44,5.678s,PASSED
,,,,,,
Test Cases/APIChainingJSON,,,2019-04-27 12:35:44,2019-04-27 12:36:00,15.771s,PASSED
"response1 = sendRequest(findTestObject(""APIChainRestService/ListUsers""))",,,2019-04-27 12:35:44,2019-04-27 12:35:54,10.405s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-04-27 12:35:54,2019-04-27 12:35:54,0.003s,PASSED
result = slurper.parseText(response1.getResponseBodyContent()),,,2019-04-27 12:35:54,2019-04-27 12:35:54,0.008s,PASSED
value = first_name,,,2019-04-27 12:35:54,2019-04-27 12:35:54,0.004s,PASSED
"println(""Value extracted is "" + value)",,,2019-04-27 12:35:54,2019-04-27 12:35:54,0.000s,PASSED
username = value,,,2019-04-27 12:35:54,2019-04-27 12:35:54,0.000s,PASSED
"println(""Global variable username is "" + username)",,,2019-04-27 12:35:54,2019-04-27 12:35:54,0.001s,PASSED
"sendRequestAndVerify(findTestObject(""APIChainRestService/UpdateUser""))",,,2019-04-27 12:35:54,2019-04-27 12:36:00,5.246s,PASSED
