Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
APITestingLearning,,,2019-03-30 21:57:53,2019-03-30 21:57:59,5.694s,PASSED
,,,,,,
Test Cases/HTTPMethods,,,2019-03-30 21:57:53,2019-03-30 21:57:55,2.278s,PASSED
"sendRequest(findTestObject(""UserRestService/CreateUser""))",,,2019-03-30 21:57:53,2019-03-30 21:57:55,1.728s,PASSED
"sendRequest(findTestObject(""UserRestService/UpdateUser""))",,,2019-03-30 21:57:55,2019-03-30 21:57:55,0.106s,PASSED
"sendRequest(findTestObject(""UserRestService/ListUsers""))",,,2019-03-30 21:57:55,2019-03-30 21:57:55,0.110s,PASSED
"sendRequest(findTestObject(""UserRestService/DeleteUser""))",,,2019-03-30 21:57:55,2019-03-30 21:57:55,0.097s,PASSED
,,,,,,
Test Cases/JSONPlaceholderTypicodeTest,,,2019-03-30 21:57:55,2019-03-30 21:57:57,1.747s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/PostRequest""))",,,2019-03-30 21:57:56,2019-03-30 21:57:57,1.576s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/GetRequest""))",,,2019-03-30 21:57:57,2019-03-30 21:57:57,0.088s,PASSED
,,,,,,
Test Cases/SoapLatitudeLongitude,,,2019-03-30 21:57:57,2019-03-30 21:57:59,1.448s,PASSED
"response1 = sendRequest(findTestObject(""WeatherSOAPService/LatLongByZipcode""))",,,2019-03-30 21:57:57,2019-03-30 21:57:58,0.809s,PASSED
xml1 = response1.getResponseText(),,,2019-03-30 21:57:58,2019-03-30 21:57:58,0.004s,PASSED
dataValue = XmlSlurper().parseText(xml1),,,2019-03-30 21:57:58,2019-03-30 21:57:58,0.019s,PASSED
println(dataValue),,,2019-03-30 21:57:58,2019-03-30 21:57:58,0.003s,PASSED
parseString = dataValue.toString(),,,2019-03-30 21:57:58,2019-03-30 21:57:58,0.001s,PASSED
"array1 = parseString.split(""<latLonList>"")",,,2019-03-30 21:57:58,2019-03-30 21:57:58,0.002s,PASSED
"array2 = array1[1].split(""</latLonList>/"")",,,2019-03-30 21:57:58,2019-03-30 21:57:58,0.001s,PASSED
latitudelongitude = array2[0],,,2019-03-30 21:57:58,2019-03-30 21:57:58,0.001s,PASSED
println(latitudelongitude),,,2019-03-30 21:57:58,2019-03-30 21:57:58,0.001s,PASSED
"latitudearray = latitudelongitude.split("","")",,,2019-03-30 21:57:58,2019-03-30 21:57:58,0.000s,PASSED
"latitude = latitudearray[0].substring(0, 2)",,,2019-03-30 21:57:58,2019-03-30 21:57:58,0.001s,PASSED
println(latitude),,,2019-03-30 21:57:58,2019-03-30 21:57:58,0.001s,PASSED
lat = latitude,,,2019-03-30 21:57:58,2019-03-30 21:57:58,0.048s,PASSED
"sendRequest(findTestObject(""WeatherSOAPService/CityByLatLong""))",,,2019-03-30 21:57:58,2019-03-30 21:57:59,0.446s,PASSED
