Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
APITestingLearning,,,2019-03-30 23:19:50,2019-03-30 23:19:55,5.103s,PASSED
,,,,,,
Test Cases/HTTPMethods,,,2019-03-30 23:19:50,2019-03-30 23:19:52,2.376s,PASSED
"sendRequest(findTestObject(""UserRestService/CreateUser""))",,,2019-03-30 23:19:50,2019-03-30 23:19:52,1.835s,PASSED
"sendRequest(findTestObject(""UserRestService/UpdateUser""))",,,2019-03-30 23:19:52,2019-03-30 23:19:52,0.123s,PASSED
"sendRequest(findTestObject(""UserRestService/ListUsers""))",,,2019-03-30 23:19:52,2019-03-30 23:19:52,0.106s,PASSED
"sendRequest(findTestObject(""UserRestService/DeleteUser""))",,,2019-03-30 23:19:52,2019-03-30 23:19:52,0.089s,PASSED
,,,,,,
Test Cases/JSONPlaceholderTypicodeTest,,,2019-03-30 23:19:52,2019-03-30 23:19:53,0.861s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/PostRequest""))",,,2019-03-30 23:19:53,2019-03-30 23:19:53,0.530s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/GetRequest""))",,,2019-03-30 23:19:53,2019-03-30 23:19:53,0.245s,PASSED
,,,,,,
Test Cases/SoapWSDLLatitudeLongitudeTest,,,2019-03-30 23:19:53,2019-03-30 23:19:55,1.661s,PASSED
"response1 = sendRequest(findTestObject(""LatLong_SOAPWSDL/GetLatLong_ByZipcode""))",,,2019-03-30 23:19:53,2019-03-30 23:19:54,0.731s,PASSED
xml1 = response1.getResponseText(),,,2019-03-30 23:19:54,2019-03-30 23:19:54,0.005s,PASSED
dataValue = XmlSlurper().parseText(xml1),,,2019-03-30 23:19:54,2019-03-30 23:19:54,0.019s,PASSED
println(dataValue),,,2019-03-30 23:19:54,2019-03-30 23:19:54,0.003s,PASSED
parseString = dataValue.toString(),,,2019-03-30 23:19:54,2019-03-30 23:19:54,0.001s,PASSED
"array1 = parseString.split(""<latLonList>"")",,,2019-03-30 23:19:54,2019-03-30 23:19:54,0.001s,PASSED
"array2 = array1[1].split(""</latLonList>/"")",,,2019-03-30 23:19:54,2019-03-30 23:19:54,0.001s,PASSED
latitudelongitude = array2[0],,,2019-03-30 23:19:54,2019-03-30 23:19:54,0.000s,PASSED
println(latitudelongitude),,,2019-03-30 23:19:54,2019-03-30 23:19:54,0.001s,PASSED
"latitudearray = latitudelongitude.split("","")",,,2019-03-30 23:19:54,2019-03-30 23:19:54,0.001s,PASSED
"latitude = latitudearray[0].substring(0, 2)",,,2019-03-30 23:19:54,2019-03-30 23:19:54,0.001s,PASSED
println(latitude),,,2019-03-30 23:19:54,2019-03-30 23:19:54,0.001s,PASSED
lat = latitude,,,2019-03-30 23:19:54,2019-03-30 23:19:54,0.045s,PASSED
"sendRequestAndVerify(findTestObject(""LatLong_SOAPWSDL/GetCity_ByLatLong""))",,,2019-03-30 23:19:54,2019-03-30 23:19:55,0.743s,PASSED
