Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
APITestingLearning,,,2019-03-31 10:50:27,2019-03-31 10:50:32,5.182s,PASSED
,,,,,,
Test Cases/HTTPMethods,,,2019-03-31 10:50:27,2019-03-31 10:50:30,2.272s,PASSED
"sendRequest(findTestObject(""UserRestService/CreateUser""))",,,2019-03-31 10:50:27,2019-03-31 10:50:29,1.717s,PASSED
"sendRequest(findTestObject(""UserRestService/UpdateUser""))",,,2019-03-31 10:50:29,2019-03-31 10:50:29,0.133s,PASSED
"sendRequest(findTestObject(""UserRestService/ListUsers""))",,,2019-03-31 10:50:29,2019-03-31 10:50:29,0.096s,PASSED
"sendRequest(findTestObject(""UserRestService/DeleteUser""))",,,2019-03-31 10:50:29,2019-03-31 10:50:30,0.116s,PASSED
,,,,,,
Test Cases/JSONPlaceholderTypicodeTest,,,2019-03-31 10:50:30,2019-03-31 10:50:30,0.985s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/PostRequest""))",,,2019-03-31 10:50:30,2019-03-31 10:50:30,0.828s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/GetRequest""))",,,2019-03-31 10:50:30,2019-03-31 10:50:30,0.075s,PASSED
,,,,,,
Test Cases/SoapWSDLLatitudeLongitudeTest,,,2019-03-31 10:50:30,2019-03-31 10:50:32,1.702s,PASSED
"response1 = sendRequest(findTestObject(""LatLong_SOAPWSDL/GetLatLong_ByZipcode""))",,,2019-03-31 10:50:31,2019-03-31 10:50:31,0.725s,PASSED
xml1 = response1.getResponseText(),,,2019-03-31 10:50:31,2019-03-31 10:50:31,0.005s,PASSED
dataValue = XmlSlurper().parseText(xml1),,,2019-03-31 10:50:31,2019-03-31 10:50:31,0.021s,PASSED
println(dataValue),,,2019-03-31 10:50:31,2019-03-31 10:50:31,0.002s,PASSED
parseString = dataValue.toString(),,,2019-03-31 10:50:31,2019-03-31 10:50:31,0.001s,PASSED
"array1 = parseString.split(""<latLonList>"")",,,2019-03-31 10:50:31,2019-03-31 10:50:31,0.003s,PASSED
"array2 = array1[1].split(""</latLonList>/"")",,,2019-03-31 10:50:31,2019-03-31 10:50:31,0.001s,PASSED
latitudelongitude = array2[0],,,2019-03-31 10:50:31,2019-03-31 10:50:31,0.001s,PASSED
println(latitudelongitude),,,2019-03-31 10:50:31,2019-03-31 10:50:31,0.001s,PASSED
"latitudearray = latitudelongitude.split("","")",,,2019-03-31 10:50:31,2019-03-31 10:50:31,0.001s,PASSED
"latitude = latitudearray[0].substring(0, 2)",,,2019-03-31 10:50:31,2019-03-31 10:50:31,0.001s,PASSED
println(latitude),,,2019-03-31 10:50:31,2019-03-31 10:50:31,0.001s,PASSED
lat = latitude,,,2019-03-31 10:50:31,2019-03-31 10:50:31,0.055s,PASSED
"sendRequestAndVerify(findTestObject(""LatLong_SOAPWSDL/GetCity_ByLatLong""))",,,2019-03-31 10:50:31,2019-03-31 10:50:32,0.766s,PASSED
