Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
APITestingLearning,,,2019-03-30 18:28:55,2019-03-30 18:28:58,3.051s,PASSED
,,,,,,
Test Cases/HTTPMethods,,,2019-03-30 18:28:55,2019-03-30 18:28:57,2.132s,PASSED
"sendRequest(findTestObject(""UserRestService/CreateUser""))",,,2019-03-30 18:28:55,2019-03-30 18:28:56,1.549s,PASSED
"sendRequest(findTestObject(""UserRestService/UpdateUser""))",,,2019-03-30 18:28:56,2019-03-30 18:28:57,0.106s,PASSED
"sendRequest(findTestObject(""UserRestService/ListUsers""))",,,2019-03-30 18:28:57,2019-03-30 18:28:57,0.127s,PASSED
"sendRequest(findTestObject(""UserRestService/DeleteUser""))",,,2019-03-30 18:28:57,2019-03-30 18:28:57,0.148s,PASSED
,,,,,,
Test Cases/JSONPlaceholderTypicodeTest,,,2019-03-30 18:28:57,2019-03-30 18:28:58,0.676s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/PostRequest""))",,,2019-03-30 18:28:57,2019-03-30 18:28:57,0.516s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/GetRequest""))",,,2019-03-30 18:28:57,2019-03-30 18:28:58,0.073s,PASSED
