Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
APITestingLearning,,,2019-03-30 18:29:07,2019-03-30 18:29:10,3.123s,PASSED
,,,,,,
Test Cases/HTTPMethods,,,2019-03-30 18:29:07,2019-03-30 18:29:09,2.172s,PASSED
"sendRequest(findTestObject(""UserRestService/CreateUser""))",,,2019-03-30 18:29:07,2019-03-30 18:29:09,1.629s,PASSED
"sendRequest(findTestObject(""UserRestService/UpdateUser""))",,,2019-03-30 18:29:09,2019-03-30 18:29:09,0.104s,PASSED
"sendRequest(findTestObject(""UserRestService/ListUsers""))",,,2019-03-30 18:29:09,2019-03-30 18:29:09,0.100s,PASSED
"sendRequest(findTestObject(""UserRestService/DeleteUser""))",,,2019-03-30 18:29:09,2019-03-30 18:29:09,0.112s,PASSED
,,,,,,
Test Cases/JSONPlaceholderTypicodeTest,,,2019-03-30 18:29:09,2019-03-30 18:29:10,0.663s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/PostRequest""))",,,2019-03-30 18:29:09,2019-03-30 18:29:10,0.491s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/GetRequest""))",,,2019-03-30 18:29:10,2019-03-30 18:29:10,0.089s,PASSED
